Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Comment,Comment,Comment,Status Category,Status Category Changed
Enable Selinium scripts to also test Pega apps/iframes/etc,TES-25,10814,Task,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,22/Sep/25 9:26 AM,22/Sep/25 9:26 AM,,,,0,,,Eric Medlock,,,5db9d8eb4ff1890d31036b89,,,,,,,,,,,,,,0|i001wn:,TES Sprint 1,,,,,,,,,To Do,22/Sep/25 9:26 AM
Bug Fixing: problem in production,TES-24,10813,Task,In Progress,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,Saicharan Basireddy,5fe07a7dd3649601392ba191,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,22/Sep/25 9:09 AM,22/Sep/25 9:09 AM,,,,0,,,Sai Sontineni,,,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,,0|i001wf:,TES Sprint 1,,,,,,,,,In Progress,22/Sep/25 9:09 AM
"Need to discuss ""Login"" steps in the ""test plan/selinum"" even if not included in User Story",TES-23,10780,Task,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,19/Sep/25 9:22 AM,19/Sep/25 9:22 AM,,,,0,,,Eric Medlock,,,5db9d8eb4ff1890d31036b89,,,,,,,,,,,,,,0|i001w7:,TES Sprint 1,,,,,,,,,To Do,19/Sep/25 9:22 AM
SPIKE: How big a lift is PAATS robotics reimplementation,TES-22,10779,Task,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,19/Sep/25 9:12 AM,19/Sep/25 9:12 AM,,,,0,,,Eric Medlock,,,5db9d8eb4ff1890d31036b89,,,,,,,,,,,,,,0|i001vz:,TES Sprint 1,,,,,,,,,To Do,19/Sep/25 9:12 AM
SPIKE: VersionOne API,TES-21,10746,Task,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,17/Sep/25 10:29 AM,17/Sep/25 10:29 AM,,,,0,,,Eric Medlock,,,5db9d8eb4ff1890d31036b89,,,,,,,,,,,,,,0|i001vr:,TES Sprint 1,,,,,,,,,To Do,17/Sep/25 10:29 AM
Need to create different dockers for Dev and Prod (Eating our own dog food),TES-20,10713,Story,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,10/Sep/25 9:20 AM,10/Sep/25 9:28 AM,,,,0,,,Sai Sontineni,,,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,,0|i001vj:,,,,,,,,,,To Do,10/Sep/25 9:20 AM
Create a Network Architecture diagram for TAG,TES-19,10678,Task,Done,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,Done,Saicharan Basireddy,5fe07a7dd3649601392ba191,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,03/Sep/25 9:21 AM,12/Sep/25 9:05 AM,,12/Sep/25 9:05 AM,,0,,,Saicharan Basireddy,Sai Sontineni,,5fe07a7dd3649601392ba191,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,0|i001un:,TES Sprint 1,,,,,,05/Sep/25 7:24 AM;5fe07a7dd3649601392ba191;[~accountid:5fe07a7dd3649601392ba191] is working on the Network Architecture with respect to the TestAutoGen AWS Service by 09/05/2025,12/Sep/25 9:05 AM;712020:b0892835-64bc-4809-afd1-cc09a3ffc20e;Eric has approved on 09/11 the network architecture diagram.,,Done,12/Sep/25 9:05 AM
Need to define roles and provide role based permissions to the application,TES-18,10677,Story,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,03/Sep/25 9:09 AM,03/Sep/25 9:10 AM,,,,0,,,Sai Sontineni,,,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,,0|i001uf:,,,,,,,,,,To Do,03/Sep/25 9:09 AM
Need to have option for the user to configure their own LLM,TES-17,10676,Story,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,03/Sep/25 9:08 AM,03/Sep/25 9:08 AM,,,,0,,,Sai Sontineni,,,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,,0|i001u7:,,,,,,,,,,To Do,03/Sep/25 9:08 AM
Need to store data from the files stored in S3 within Vector DB,TES-16,10675,Story,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,03/Sep/25 9:07 AM,03/Sep/25 9:08 AM,,,,0,,,Sai Sontineni,,,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,,0|i001tz:,,,,,,,,,,To Do,03/Sep/25 9:07 AM
Create S3 bucket and store input and output files,TES-15,10674,Story,In Progress,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,Saicharan Basireddy,5fe07a7dd3649601392ba191,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,03/Sep/25 9:06 AM,12/Sep/25 9:06 AM,,,,0,,,Saicharan Basireddy,Sai Sontineni,,5fe07a7dd3649601392ba191,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,0|i001uv:,TES Sprint 1,,,,,,05/Sep/25 7:25 AM;5fe07a7dd3649601392ba191;[~accountid:5fe07a7dd3649601392ba191] created the S3 Bucket and handed over the details to Dev to integrate in the code.,08/Sep/25 8:07 AM;5fe07a7dd3649601392ba191;Team is working on the configuration and will complete the development by EOD ,12/Sep/25 9:06 AM;712020:b0892835-64bc-4809-afd1-cc09a3ffc20e;Testing in progress 09/12 9 AM EST,In Progress,04/Sep/25 9:11 AM
Need Project selection checkbox when Jira is selected,TES-14,10673,Story,To Do,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,,,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,03/Sep/25 9:02 AM,03/Sep/25 9:02 AM,19/Sep/25 9:10 AM,,,0,,,Sai Sontineni,,,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,,0|i001tj:,TES Sprint 1,,,,,,,,,To Do,03/Sep/25 9:02 AM
Generate error logs in case of any system failure,TES-13,10635,Story,Done,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,Done,Saicharan Basireddy,5fe07a7dd3649601392ba191,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,28/Aug/25 1:49 PM,19/Sep/25 9:03 AM,,19/Sep/25 9:03 AM,18/Sep/25 12:00 AM,0,,,Sai Sontineni,,,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,,0|i001uz:,TES Sprint 1,,,,,,,,,Done,19/Sep/25 9:03 AM
Provide Access to Dev Site for Demo,TES-12,10602,Task,Done,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,Done,Saicharan Basireddy,5fe07a7dd3649601392ba191,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,Sai Sontineni,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,22/Aug/25 9:17 AM,28/Aug/25 1:50 PM,,28/Aug/25 1:50 PM,,0,,,Sai Sontineni,,,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,,,0|i001rb:,TES Sprint 1,,,,,,22/Aug/25 9:18 AM;712020:b0892835-64bc-4809-afd1-cc09a3ffc20e;[~accountid:5fe07a7dd3649601392ba191]  - Can you please provide us access to dev site for testing the application.,,,Done,28/Aug/25 1:50 PM
Change name of application to TestAutoGen,TES-11,10577,Story,Done,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,Done,,,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,20/Aug/25 12:39 PM,22/Aug/25 9:09 AM,,22/Aug/25 9:09 AM,,0,,,Eric Medlock,Saicharan Basireddy,,5db9d8eb4ff1890d31036b89,5fe07a7dd3649601392ba191,,,,,,,,,,21/Aug/25 10:42 AM;ug:1e45b16b-11b9-4632-aa80-7259409abaf0;image-20250821-144149.png;https://ericmedlock.atlassian.net/rest/api/3/attachment/content/10001,,,0|i001nc:,TES Sprint 1,,,,,,"21/Aug/25 10:42 AM;5fe07a7dd3649601392ba191;[~accountid:5db9d8eb4ff1890d31036b89] Team has Updated the Name to TESTAUTOGEN, please find the Screenshot for Reference. 

!image-20250821-144149.png|width=800,height=394,alt=""image-20250821-144149.png""!",,,Done,22/Aug/25 9:09 AM
Deploy approved DEMO app to app staidlogic site w/SSO enabled,TES-10,10576,Story,Done,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,Done,Saicharan Basireddy,5fe07a7dd3649601392ba191,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,20/Aug/25 12:39 PM,03/Sep/25 9:03 AM,20/Aug/25 12:41 PM,03/Sep/25 9:03 AM,,0,,,Eric Medlock,,,5db9d8eb4ff1890d31036b89,,,,,,,,,,,,,,0|i001rj:,TES Sprint 1,,,,,,,,,Done,03/Sep/25 9:03 AM
Enable SSO Login,TES-9,10575,Story,Done,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,Done,Saicharan Basireddy,5fe07a7dd3649601392ba191,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,20/Aug/25 12:38 PM,29/Aug/25 7:25 AM,,29/Aug/25 7:25 AM,,0,,,Eric Medlock,Saicharan Basireddy,Sai Sontineni,5db9d8eb4ff1890d31036b89,5fe07a7dd3649601392ba191,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,0|i001nb:i,TES Sprint 1,,,,,,"21/Aug/25 10:39 AM;5fe07a7dd3649601392ba191;[~accountid:5db9d8eb4ff1890d31036b89] [~accountid:712020:b0892835-64bc-4809-afd1-cc09a3ffc20e] To enable the SSO login we need to configure the Database first, as Single Sign On has to validate if the user is stored in the database or not
Along with we need to move the code to [apps.staidlogic.com|http://apps.staidlogic.com] as it requires the domain pointed to the application. ","22/Aug/25 9:14 AM;712020:b0892835-64bc-4809-afd1-cc09a3ffc20e;[~accountid:5fe07a7dd3649601392ba191] - As discussed earlier today, you mentioned that there are ways we can also implement SSO without database configuration step. Please share us an update on it by Monday 08/25.",,Done,29/Aug/25 7:25 AM
Add Progress Bar/Animated GIF when system is processing data,TES-8,10574,Story,Done,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,Done,,,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,20/Aug/25 12:38 PM,22/Aug/25 9:11 AM,,22/Aug/25 9:11 AM,,0,,,Eric Medlock,Sai Sontineni,,5db9d8eb4ff1890d31036b89,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,22/Aug/25 9:11 AM;3a2ea19f-7c7a-439f-acf3-7b18b0082b89;image-20250822-131140.png;https://ericmedlock.atlassian.net/rest/api/3/attachment/content/10002,,,0|i001nc:i,TES Sprint 1,,,,,,"22/Aug/25 9:11 AM;712020:b0892835-64bc-4809-afd1-cc09a3ffc20e; [~accountid:5db9d8eb4ff1890d31036b89] - For now, we have added the gif loader next to the “In Progress” text in status field as an indicator for Demo purpose. Amy additional change required can be taken care in the future releases.

!image-20250822-131140.png|width=1211,height=518,alt=""image-20250822-131140.png""!",,,Done,22/Aug/25 9:11 AM
Dockerize the final package for customer install,TES-7,10573,Story,In Progress,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,,Saicharan Basireddy,5fe07a7dd3649601392ba191,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,20/Aug/25 12:38 PM,15/Sep/25 9:05 AM,,,17/Sep/25 12:00 AM,0,,,Eric Medlock,,,5db9d8eb4ff1890d31036b89,,,,,,,,,,,,,,0|i001v1:,TES Sprint 1,,,,,,,,,In Progress,08/Sep/25 9:13 AM
Convert Data Storage to use Postgres,TES-6,10572,Story,Done,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,Done,Saicharan Basireddy,5fe07a7dd3649601392ba191,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,20/Aug/25 12:38 PM,17/Sep/25 9:12 AM,,17/Sep/25 9:12 AM,,0,,,Eric Medlock,Saicharan Basireddy,Sai Sontineni,5db9d8eb4ff1890d31036b89,5fe07a7dd3649601392ba191,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,0|i001rr:,TES Sprint 1,,,,,,05/Sep/25 7:23 AM;5fe07a7dd3649601392ba191;Dev Team is working on the integration of the PostgreSQL - completed 70% - No Blockers ETA 09/08/2025,08/Sep/25 8:07 AM;5fe07a7dd3649601392ba191;Team has assigned with S3 Bucket Details and Team is working on it Will be completed for Development by today dated 09/08/2025,12/Sep/25 9:03 AM;712020:b0892835-64bc-4809-afd1-cc09a3ffc20e;Testing in progress 09/12 9AM EST,Done,17/Sep/25 9:12 AM
Upload Assets to GitHub,TES-5,10571,Story,Done,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,Done,Saicharan Basireddy,5fe07a7dd3649601392ba191,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,20/Aug/25 12:37 PM,08/Sep/25 8:06 AM,,08/Sep/25 8:06 AM,,0,,,Eric Medlock,Saicharan Basireddy,Sai Sontineni,5db9d8eb4ff1890d31036b89,5fe07a7dd3649601392ba191,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,,,0|i001nb:,TES Sprint 1,,,,,,"22/Aug/25 9:08 AM;712020:b0892835-64bc-4809-afd1-cc09a3ffc20e;[~accountid:5db9d8eb4ff1890d31036b89] - Once, we get an approval from you on the Demo build. We will start working on this item. ",05/Sep/25 7:22 AM;5fe07a7dd3649601392ba191;[~accountid:712020:b0892835-64bc-4809-afd1-cc09a3ffc20e] and [~accountid:5fe07a7dd3649601392ba191] will push the Demo code to the CodeCommit Repository by 09/05/2025,08/Sep/25 8:06 AM;5fe07a7dd3649601392ba191;Team Has pushed the code to the Code Commit Repository as Version1,Done,08/Sep/25 8:06 AM
Change Cancel to Done,TES-4,10570,Story,Done,TES,TestAutoGen,software,Eric Medlock,5db9d8eb4ff1890d31036b89,,Medium,Done,Saicharan Basireddy,5fe07a7dd3649601392ba191,Eric Medlock,5db9d8eb4ff1890d31036b89,Eric Medlock,5db9d8eb4ff1890d31036b89,20/Aug/25 12:37 PM,22/Aug/25 9:15 AM,,22/Aug/25 9:05 AM,,0,,,Eric Medlock,Sai Sontineni,,5db9d8eb4ff1890d31036b89,712020:b0892835-64bc-4809-afd1-cc09a3ffc20e,,,,,,,,,,22/Aug/25 9:15 AM;3a2ea19f-7c7a-439f-acf3-7b18b0082b89;image-20250822-131517.png;https://ericmedlock.atlassian.net/rest/api/3/attachment/content/10003,,,0|i001n3:,TES Sprint 1,,,,,,"22/Aug/25 9:07 AM;712020:b0892835-64bc-4809-afd1-cc09a3ffc20e; [~accountid:5db9d8eb4ff1890d31036b89]- The button has been renamed to “Done” in the last step.

!image-20250822-131517.png|width=1324,height=680,alt=""image-20250822-131517.png""!",,,Done,22/Aug/25 9:05 AM
